id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
okb,okb,OKB,51.1,3064546098.0,-1.892,11498281.0,06/21/2025 19:46
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2891612149.0,0.0,0.0,06/21/2025 19:46
bittensor,tao,Bittensor,321.1,2854553175.0,-5.5995,120656215.0,06/21/2025 19:46
aptos,apt,Aptos,4.2,2702543981.0,-2.01843,323035120.0,06/21/2025 19:46
crypto-com-chain,cro,Cronos,0.084995,2641177181.0,-3.12111,18077369.0,06/21/2025 19:46
internet-computer,icp,Internet Computer,4.82,2579825119.0,-2.19188,56770267.0,06/21/2025 19:46
susds,susds,sUSDS,1.056,2569191042.0,0.00795,9544981.0,06/21/2025 19:46
jito-staked-sol,jitosol,Jito Staked SOL,165.86,2463191703.0,-2.31951,32641977.0,06/21/2025 19:46
near,near,NEAR Protocol,2.0,2457096550.0,-3.87307,135791545.0,06/21/2025 19:46
ethereum-classic,etc,Ethereum Classic,15.73,2394852052.0,-2.58039,62741883.0,06/21/2025 19:46
bitcoin,btc,Bitcoin,102139.0,2032258463208.0,-1.24666,27617781004.0,06/21/2025 21:35
ethereum,eth,Ethereum,2264.47,273500000364.0,-6.47722,19614032915.0,06/21/2025 21:35
tether,usdt,Tether,1.0,155830111808.0,0.02053,26991339456.0,06/21/2025 21:35
ripple,xrp,XRP,2.05,120821115969.0,-3.68028,2408097777.0,06/21/2025 21:35
binancecoin,bnb,BNB,628.41,91694976247.0,-2.36642,763754961.0,06/21/2025 21:35
solana,sol,Solana,134.17,71345764602.0,-4.07795,4559226217.0,06/21/2025 21:35
usd-coin,usdc,USDC,0.999806,61242509666.0,-0.0061,6671020363.0,06/21/2025 21:35
tron,trx,TRON,0.271574,25761677007.0,-0.48454,600712714.0,06/21/2025 21:35
dogecoin,doge,Dogecoin,0.15394,23081292582.0,-5.62897,1093133696.0,06/21/2025 21:35
staked-ether,steth,Lido Staked Ether,2261.46,20756882158.0,-6.55621,19836470.0,06/21/2025 21:35
cardano,ada,Cardano,0.54896,19838126850.0,-6.01053,705969670.0,06/21/2025 21:35
wrapped-bitcoin,wbtc,Wrapped Bitcoin,102114.0,13145607236.0,-1.10829,246228297.0,06/21/2025 21:35
hyperliquid,hype,Hyperliquid,33.0,11020913187.0,-4.36765,342385127.0,06/21/2025 21:35
wrapped-steth,wsteth,Wrapped stETH,2727.55,9661708294.0,-6.71502,14658310.0,06/21/2025 21:35
bitcoin-cash,bch,Bitcoin Cash,461.34,9175420757.0,-0.96161,297809834.0,06/21/2025 21:35
sui,sui,Sui,2.54,8638183664.0,-6.67057,896029905.0,06/21/2025 21:35
leo-token,leo,LEO Token,8.95,8270646471.0,0.64539,2514742.0,06/21/2025 21:35
chainlink,link,Chainlink,11.9,8076187921.0,-5.81083,370291472.0,06/21/2025 21:35
stellar,xlm,Stellar,0.234944,7338050787.0,-3.37463,161344624.0,06/21/2025 21:35
usds,usds,USDS,0.999859,7130988929.0,0.00356,3448976.0,06/21/2025 21:35
avalanche-2,avax,Avalanche,16.68,7039434252.0,-4.72584,391108096.0,06/21/2025 21:35
the-open-network,ton,Toncoin,2.83,7000420842.0,-2.96276,136123210.0,06/21/2025 21:35
whitebit,wbt,WhiteBIT Coin,48.49,6987506394.0,-1.08313,43230875.0,06/21/2025 21:35
shiba-inu,shib,Shiba Inu,1.082e-05,6384055593.0,-4.93981,160580667.0,06/21/2025 21:35
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,6294687643.0,0.01101,5768019159.0,06/21/2025 21:35
litecoin,ltc,Litecoin,79.96,6082339491.0,-4.16118,296559872.0,06/21/2025 21:35
weth,weth,WETH,2263.04,5966218303.0,-6.55716,45441538.0,06/21/2025 21:35
wrapped-eeth,weeth,Wrapped eETH,2422.82,5924087994.0,-6.50385,4052880.0,06/21/2025 21:35
hedera-hashgraph,hbar,Hedera,0.136469,5767451052.0,-5.8697,128115479.0,06/21/2025 21:35
monero,xmr,Monero,307.54,5681815799.0,-3.06386,56112464.0,06/21/2025 21:35
ethena-usde,usde,Ethena USDe,1.001,5598956166.0,0.06768,98093757.0,06/21/2025 21:35
polkadot,dot,Polkadot,3.27,4982095569.0,-5.11438,196776917.0,06/21/2025 21:35
bitget-token,bgb,Bitget Token,4.19,4909200665.0,-1.21503,61257907.0,06/21/2025 21:35
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,102217.0,4729019847.0,-1.13326,284345778.0,06/21/2025 21:35
pepe,pepe,Pepe,9.22e-06,3889548076.0,-8.14374,750112647.0,06/21/2025 21:35
uniswap,uni,Uniswap,6.39,3838764761.0,-9.58151,649906226.0,06/21/2025 21:35
pi-network,pi,Pi Network,0.504041,3809967544.0,-7.08312,77466243.0,06/21/2025 21:35
dai,dai,Dai,0.999911,3727469459.0,0.03021,54477263.0,06/21/2025 21:35
aave,aave,Aave,231.95,3517748681.0,-6.01814,367091769.0,06/21/2025 21:35
ethena-staked-usde,susde,Ethena Staked USDe,1.18,3188078999.0,0.06441,12943351.0,06/21/2025 21:35
okb,okb,OKB,50.68,3046159661.0,-2.18529,7287361.0,06/21/2025 21:35
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2891612149.0,0.0,0.0,06/21/2025 21:35
bittensor,tao,Bittensor,312.58,2775926135.0,-8.32782,127771989.0,06/21/2025 21:35
aptos,apt,Aptos,4.09,2627689561.0,-5.48408,351521655.0,06/21/2025 21:35
crypto-com-chain,cro,Cronos,0.083036,2583535053.0,-5.44752,18594918.0,06/21/2025 21:35
susds,susds,sUSDS,1.056,2569509692.0,0.01433,10717727.0,06/21/2025 21:35
internet-computer,icp,Internet Computer,4.67,2501538715.0,-6.0576,61671755.0,06/21/2025 21:35
jito-staked-sol,jitosol,Jito Staked SOL,162.48,2404972618.0,-4.03138,44370974.0,06/21/2025 21:35
near,near,NEAR Protocol,1.94,2382503154.0,-7.33178,151926936.0,06/21/2025 21:35
ethereum-classic,etc,Ethereum Classic,15.48,2361834294.0,-4.24806,70394942.0,06/21/2025 21:35
bitcoin,btc,Bitcoin,102350.0,2034706906973.0,-1.10677,28298438569.0,06/21/2025 21:53
ethereum,eth,Ethereum,2262.71,273104626400.0,-6.56079,20036258321.0,06/21/2025 21:53
tether,usdt,Tether,1.0,155829474748.0,0.01389,45234359423.0,06/21/2025 21:53
ripple,xrp,XRP,2.05,121019539459.0,-3.46336,2444194094.0,06/21/2025 21:53
binancecoin,bnb,BNB,629.47,91704677148.0,-2.24435,571136125.0,06/21/2025 21:53
solana,sol,Solana,134.31,71214346862.0,-4.08217,4591712198.0,06/21/2025 21:53
usd-coin,usdc,USDC,0.999807,61243410280.0,0.00041,6937424298.0,06/21/2025 21:53
tron,trx,TRON,0.271,25695113381.0,-0.82109,613249873.0,06/21/2025 21:53
dogecoin,doge,Dogecoin,0.153955,23062754515.0,-5.59464,1076584923.0,06/21/2025 21:53
staked-ether,steth,Lido Staked Ether,2264.91,20757685378.0,-6.48683,20373595.0,06/21/2025 21:53
cardano,ada,Cardano,0.549181,19829085508.0,-6.01484,695951440.0,06/21/2025 21:53
wrapped-bitcoin,wbtc,Wrapped Bitcoin,102227.0,13178273873.0,-1.03358,251692025.0,06/21/2025 21:53
hyperliquid,hype,Hyperliquid,33.07,11045885899.0,-4.20274,346282888.0,06/21/2025 21:53
wrapped-steth,wsteth,Wrapped stETH,2725.01,9658705763.0,-6.72162,14847464.0,06/21/2025 21:53
bitcoin-cash,bch,Bitcoin Cash,465.11,9246601214.0,-0.15549,311578325.0,06/21/2025 21:53
sui,sui,Sui,2.55,8658442004.0,-6.51961,911241258.0,06/21/2025 21:53
leo-token,leo,LEO Token,8.96,8266481067.0,0.62279,2525075.0,06/21/2025 21:53
chainlink,link,Chainlink,11.94,8097473761.0,-5.59234,368384456.0,06/21/2025 21:53
stellar,xlm,Stellar,0.235372,7339701809.0,-3.23945,157945314.0,06/21/2025 21:53
